FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations,Runway Identifier,Surface Type,Runway Length, Runway Width
01757.*A,POC,BRACKETT FIELD,LA VERNE,CA,AWP,LAX,PU,34-05-30.0000N,117-46-54.4000W,PU,,Reliever,,Y,100LLA,AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,223,115608	,08R/26L	,ASPH-G,4840,75 
01342.*A,BWC,BRAWLEY MUNI,BRAWLEY,CA,AWP,LAX,PU,32-59-34.6000N,115-31-00.8000W,PU,,General Aviation,,N,100LLA+,AGRI  CHTR  INSTR  RNTL,62,5500	,08/26	,ASPH-G,4402,60 
02005.1*A,CL13,BRIAN RANCH,PALMDALE,CA,AWP,LAX,PR,34-30-54.9820N,117-45-43.2210W,PR,,NON-NPIAS,,N,,,1,120	,03/21	,DIRT,1462,50 
02180.*A,SDM,BROWN FIELD MUNI,SAN DIEGO,CA,AWP,LAX,PU,32-34-20.1800N,116-58-48.5800W,PU,,Reliever,,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  PAJA  RNTL  SALES,199,89885	,08L/26R	,ASPH-CONC-G,7972,150 
02180.*A,SDM,BROWN FIELD MUNI,SAN DIEGO,CA,AWP,LAX,PU,32-34-20.1800N,116-58-48.5800W,PU,,Reliever,,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  PAJA  RNTL  SALES,199,89885	,08R/26L	,ASPH-G,3180,75 
01348.*A,2CL1,BROWNSVILLE,BROWNSVILLE,CA,AWP,SFO,PR,39-27-18.8000N,121-17-29.9000W,PR,,NON-NPIAS,,N,,,9,1400	,06/24	,ASPH-CONC-G,2326,20 
01346.*A,O57,BRYANT FIELD,BRIDGEPORT,CA,AWP,SFO,PU,38-15-52.7531N,119-13-21.8320W,PU,,General Aviation,,N,100,,1,3200	,16/34	,ASPH-G,3854,60 
01437.*A,CCR,BUCHANAN FIELD,CONCORD,CA,AWP,SFO,PU,37-59-22.8000N,122-03-24.8000W,PU,IV A U 05/1986,Reliever,,Y,100LLA1+,AMB  AVNCS  CHTR  INSTR  RNTL  SALES,386,105144	,01L/19R	,ASPH-CONC-G,5001,150 
01437.*A,CCR,BUCHANAN FIELD,CONCORD,CA,AWP,SFO,PU,37-59-22.8000N,122-03-24.8000W,PU,IV A U 05/1986,Reliever,,Y,100LLA1+,AMB  AVNCS  CHTR  INSTR  RNTL  SALES,386,105144	,01R/19L	,ASPH-G,2770,75 
01437.*A,CCR,BUCHANAN FIELD,CONCORD,CA,AWP,SFO,PU,37-59-22.8000N,122-03-24.8000W,PU,IV A U 05/1986,Reliever,,Y,100LLA1+,AMB  AVNCS  CHTR  INSTR  RNTL  SALES,386,105144	,14L/32R	,ASPH-CONC-G,4602,150 
01437.*A,CCR,BUCHANAN FIELD,CONCORD,CA,AWP,SFO,PU,37-59-22.8000N,122-03-24.8000W,PU,IV A U 05/1986,Reliever,,Y,100LLA1+,AMB  AVNCS  CHTR  INSTR  RNTL  SALES,386,105144	,14R/32L	,ASPH-G,2799,75 
01354.61*H,34CL,BURNEY SERVICE CENTER,BURNEY,CA,AWP,SFO,PR,40-53-40.5730N,121-38-59.9520W,PR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH-CONC,115,100 
01395.2*A,CL90,BUTTE CREEK HOG RANCH,CHICO,CA,AWP,SFO,PR,39-41-19.5830N,121-47-01.9170W,PR,,NON-NPIAS,,N,,,2,0	,N/S	,GRVL,1600,25 
01512.*A,A32,BUTTE VALLEY,DORRIS,CA,AWP,SFO,PU,41-53-14.1000N,121-58-32.1000W,PU,,General Aviation,,N,,,1,2050	,16/34	,ASPH-G,4300,60 
01356.5*A,C83,BYRON,BYRON,CA,AWP,SFO,PU,37-49-42.4000N,121-37-33.0000W,PU,,Reliever,,N,100LL,,92,60050	,05/23	,ASPH-G,3000,75 
01356.5*A,C83,BYRON,BYRON,CA,AWP,SFO,PU,37-49-42.4000N,121-37-33.0000W,PU,,Reliever,,N,100LL,,92,60050	,12/30	,ASPH-G,4500,100 
02385.*A,CCB,CABLE,UPLAND,CA,AWP,LAX,PU,34-06-41.8000N,117-41-14.6000W,PR,,Reliever,,N,100LLA,AVNCS  INSTR  RNTL  SALES,100,92189	,06/24	,ASPH-E,3863,75 
01356.7*A,CA90,CADIZ AIRSTRIP,CADIZ,CA,AWP,LAX,PR,34-30-50.0000N,115-31-10.0000W,PR,,NON-NPIAS,,N,,,0,0	,08/26	,ASPH,5280,49 
02141.11*A,CPU,CALAVERAS CO-MAURY RASMUSSEN FIELD,SAN ANDREAS,CA,AWP,SFO,PU,38-08-46.0000N,120-38-53.4000W,PU,,General Aviation,,N,100LL,INSTR  RNTL,53,32000	,13/31	,ASPH-G,3603,60 
01358.*A,CXL,CALEXICO INTL,CALEXICO,CA,AWP,LAX,PU,32-40-02.8000N,115-31-03.3000W,PU,,General Aviation,,N,100LLA,,24,5062	,08/26	,ASPH-F,4683,75 
01360.*A,L71,CALIFORNIA CITY MUNI,CALIFORNIA CITY,CA,AWP,LAX,PU,35-09-04.5000N,118-01-00.0000W,PU,,General Aviation,,N,100LL80   A,GLD  INSTR  PAJA  RNTL  TOW,15,3550	,06/24	,ASPH-G,6027,60 
01817.11*H,9CA5,CALIFORNIA MART,LOS ANGELES,CA,AWP,LAX,PR,34-02-25.0450N,118-15-22.2670W,PR,,NON-NPIAS,,N,,,0,0	,H1	,CONC,185,87 
01234.12*A,A24,CALIFORNIA PINES,ALTURAS,CA,AWP,SFO,PU,41-24-43.9000N,120-41-02.6000W,PU,,NON-NPIAS,,N,,,1,1500	,05/23	,ASPH-G,4250,45 
01696.*A,CA19,CAMANCHE SKYPARK,IONE,CA,AWP,SFO,PR,38-15-49.6990N,120-55-23.7810W,PR,,NON-NPIAS,,N,,,2,0	,09/27	,ASPH,2250,30 
01369.1*A,CMA,CAMARILLO,CAMARILLO,CA,AWP,LAX,PU,34-12-49.5000N,119-05-39.7000W,PU,,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,482,136510	,08/26	,ASPH-CONC-G,6013,150 
02031.21*A,74CN,CAMATTA RANCH AIRSTRIP,PASO ROBLES,CA,AWP,LAX,PR,35-28-34.8900N,120-18-32.4800W,PR,,NON-NPIAS,,N,,,0,0	,11/29	,ASPH,2515,35 
01369.8*A,O61,CAMERON AIRPARK,CAMERON PARK,CA,AWP,SFO,PU,38-41-02.4000N,120-59-15.1000W,PU,,General Aviation,,N,100LL,INSTR  RNTL  SALES,106,36036	,13/31	,ASPH-G,4051,50 
01619.*A,CL29,CAMINO AIRSTRIP,GOFFS,CA,AWP,LAX,PR,34-50-06.9232N,114-57-25.0893W,PR,,NON-NPIAS,,N,,,0,0	,14/32	,DIRT,3000,80 
02053.*H,4CA3,CAMP PARKS,PLEASANTON,CA,AWP,SFO,PR,37-42-29.7460N,121-53-33.8470W,MR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,2200,400 
