FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations,Runway Identifier,Surface Type,Runway Length, Runway Width
02389.1*A,VCB,NUT TREE,VACAVILLE,CA,AWP,SFO,PU,38-22-40.0000N,121-57-41.7000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL  SALES,184,101500	,02/20	,ASPH-G,4700,75 
01370.3*H,CSL,O'SULLIVAN AHP,CAMP SAN LUIS OBISPO,CA,AWP,SFO,PR,35-19-59.9070N,120-44-03.6250W,MR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,2430,75 
02031.3*A,33CL,OAK COUNTRY RANCH,PASO ROBLES,CA,AWP,SFO,PR,35-34-05.8970N,120-47-50.6340W,PR,,NON-NPIAS,,N,,,3,0	,17/35	,ASPH,2200,50 
01970.*A,O27,OAKDALE,OAKDALE,CA,AWP,SFO,PU,37-45-22.8000N,120-48-00.7000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL  SALES,66,9360	,10/28	,ASPH-G,3013,75 
01635.85*A,E55,OCEAN RIDGE,GUALALA,CA,AWP,SFO,PU,38-48-05.8000N,123-31-50.3000W,PR,,NON-NPIAS,,N,,,11,2000	,13/31	,ASPH-G,2500,50 
01971.7*A,L52,OCEANO COUNTY,OCEANO,CA,AWP,SFO,PU,35-06-05.3000N,120-37-20.5000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL,20,10000	,11/29	,ASPH-F,2325,50 
01975.1*A,OKB,OCEANSIDE MUNI,OCEANSIDE,CA,AWP,LAX,PU,33-13-04.7150N,117-21-05.4270W,PU,,General Aviation,,N,100LLA+,INSTR  PAJA,58,11848	,06/24	,ASPH-G,2712,75 
01979.*A,L90,OCOTILLO,OCOTILLO WELLS,CA,AWP,LAX,PU,33-08-52.0000N,116-07-53.7000W,PU,,NON-NPIAS,,N,,,0,1800	,09/27	,DIRT-G,2475,150 
01979.*A,L90,OCOTILLO,OCOTILLO WELLS,CA,AWP,LAX,PU,33-08-52.0000N,116-07-53.7000W,PU,,NON-NPIAS,,N,,,0,1800	,13/31	,DIRT-G,4210,150 
01873.02*A,9CL7,OLD AERODROME,MARYSVILLE,CA,AWP,SFO,PR,39-19-29.6060N,121-21-33.8640W,PR,,NON-NPIAS,,N,,,4,0	,16/34	,TURF,2300,100 
01232.*A,1CA6,ON THE ROCKS,ALPINE,CA,AWP,LAX,PR,32-45-54.1950N,116-43-21.0740W,PR,,NON-NPIAS,,N,,,1,0	,15/33	,GRVL,2340,60 
01986.*A,ONT,ONTARIO INTL,ONTARIO,CA,AWP,LAX,PU,34-03-21.6000N,117-36-04.3000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  SALES,25,83698	,08L/26R	,CONC-G,12197,150 
01986.*A,ONT,ONTARIO INTL,ONTARIO,CA,AWP,LAX,PU,34-03-21.6000N,117-36-04.3000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  SALES,25,83698	,08R/26L	,CONC-G,10200,150 
01998.*A,OVE,OROVILLE MUNI,OROVILLE,CA,AWP,SFO,PU,39-29-16.1000N,121-37-19.2000W,PU,,General Aviation,,N,100LLA,GLD  INSTR,66,36000	,02/20	,ASPH-G,6020,100 
01998.*A,OVE,OROVILLE MUNI,OROVILLE,CA,AWP,SFO,PU,39-29-16.1000N,121-37-19.2000W,PU,,General Aviation,,N,100LLA,GLD  INSTR,66,36000	,13/31	,ASPH-G,3540,100 
02407.1*A,8CA0,OSBORNE,VICTORVILLE,CA,AWP,LAX,PR,34-35-01.9770N,117-16-00.1610W,PR,,NON-NPIAS,,N,,,6,0	,02/20	,ASPH,2600,80 
02001.*A,OXR,OXNARD,OXNARD,CA,AWP,LAX,PU,34-12-02.9000N,119-12-26.0000W,PU,III A U 05/1973,General Aviation,,Y,100LLA,AFRT  AGRI  CARGO  CHTR  INSTR  RNTL  SALES,142,59495	,07/25	,ASPH-G,5953,100 
01652.01*A,19CL,PALISADES RANCH,HELENDALE,CA,AWP,LAX,PR,34-42-43.9550N,117-21-03.1730W,PR,,NON-NPIAS,,N,,,0,0	,01/19	,DIRT,3800,100 
02017.*A,PSP,PALM SPRINGS INTL,PALM SPRINGS,CA,AWP,LAX,PU,33-49-48.3816N,116-30-21.5570W,PU,I C S 05/1973,Primary,Small,Y,100LLA,AFRT  CHTR  INSTR  RNTL  SALES,94,57097	,13L/31R	,ASPH-G,4952,75 
02017.*A,PSP,PALM SPRINGS INTL,PALM SPRINGS,CA,AWP,LAX,PU,33-49-48.3816N,116-30-21.5570W,PU,I C S 05/1973,Primary,Small,Y,100LLA,AFRT  CHTR  INSTR  RNTL  SALES,94,57097	,13R/31L	,ASPH-G,10001,100 
02013.*A,PMD,PALMDALE USAF PLANT 42,PALMDALE,CA,AWP,LAX,PU,34-37-45.8000N,118-05-04.3900W,MA,,General Aviation,,Y,,,0,64433	,04/22	,CONC-G,12001,150 
02013.*A,PMD,PALMDALE USAF PLANT 42,PALMDALE,CA,AWP,LAX,PU,34-37-45.8000N,118-05-04.3900W,MA,,General Aviation,,Y,,,0,64433	,07/25	,CONC-G,12002,200 
02013.*A,PMD,PALMDALE USAF PLANT 42,PALMDALE,CA,AWP,LAX,PU,34-37-45.8000N,118-05-04.3900W,MA,,General Aviation,,Y,,,0,64433	,072/252	,CONC-E,6000,75 
02022.*A,PAO,PALO ALTO ARPT OF SANTA CLARA CO,PALO ALTO,CA,AWP,SFO,PU,37-27-40.0000N,122-06-54.2000W,PU,,Reliever,,Y,100LLA,AMB  AVNCS  CHTR  GLD  INSTR  RNTL  SALES  SURV,194,191697	,13/31	,ASPH-G,2443,70 
01291.1*A,7CA2,PARADISE LAKES,BAKERSFIELD,CA,AWP,LAX,PR,35-10-36.0000N,118-55-38.0000W,PR,,NON-NPIAS,,N,,,3,0	,16/34	,ASPH,2700,60 
02026.5*A,CA92,PARADISE SKYPARK,PARADISE,CA,AWP,SFO,PR,39-42-38.0000N,121-36-59.4000W,PR,,NON-NPIAS,,N,100LL,CARGO  INSTR  RNTL,45,14900	,17/35	,ASPH-G,3017,60 
01845.02*A,2CN4,PARAMOUNT FARMS,LOST HILLS,CA,AWP,LAX,PR,35-39-59.0000N,119-53-47.0000W,PR,,NON-NPIAS,,N,,,0,0	,16/34	,ASPH,5002,60 
02032.*A,PRB,PASO ROBLES MUNI,PASO ROBLES,CA,AWP,SFO,PU,35-40-22.4000N,120-37-37.5000W,PU,,General Aviation,,N,100LLA,INSTR  PAJA  RNTL,153,34250	,01/19	,ASPH-G,6008,150 
02032.*A,PRB,PASO ROBLES MUNI,PASO ROBLES,CA,AWP,SFO,PU,35-40-22.4000N,120-37-37.5000W,PU,,General Aviation,,N,100LLA,INSTR  PAJA  RNTL,153,34250	,13/31	,ASPH-G,4701,100 
02035.21*A,CL33,PAUMA VALLEY AIR PARK,PAUMA VALLEY,CA,AWP,LAX,PR,33-18-38.1230N,116-59-53.1000W,PR,,NON-NPIAS,,N,,,8,0	,11/29	,ASPH,2700,50 
01276.2*C,L11,PEBBLY BEACH,AVALON,CA,AWP,LAX,PR,33-20-18.1030N,118-18-43.2590W,PR,,NON-NPIAS,,N,,,0,13510	,ALL/WAY	,WATER,15000,4000 
02099.1*A,42CN,PEG FIELD,REEDLEY,CA,AWP,SFO,PR,36-42-32.8190N,119-24-17.4490W,PR,,NON-NPIAS,,N,,,3,0	,09/27	,GRVL-TRTD,3110,60 
01704.51*A,6CL9,PEORIA,JAMESTOWN,CA,AWP,SFO,PR,37-55-18.0000N,120-30-55.0000W,PR,,NON-NPIAS,,N,,,0,0	,09/27	,TURF,2500,50 
02037.1*A,L65,PERRIS VALLEY,PERRIS,CA,AWP,LAX,PU,33-45-52.7000N,117-13-08.4000W,PR,,NON-NPIAS,,N,100LLA,CHTR  PAJA,20,27550	,15/33	,ASPH-P,5100,50 
02051.5*A,7CL9,PERRYMAN,PLACERVILLE,CA,AWP,SFO,PR,38-41-46.6540N,120-43-52.7570W,PR,,NON-NPIAS,,N,,,0,0	,08/26	,TURF,2000,100 
02042.*A,O69,PETALUMA MUNI,PETALUMA,CA,AWP,SFO,PU,38-15-28.1000N,122-36-19.2000W,PU,,Reliever,,N,100LLA,INSTR  RNTL  SALES,200,53200	,11/29	,ASPH-F,3602,75 
02111.5*A,CA17,PETERSON,RIVERBANK,CA,AWP,SFO,PR,37-43-24.7430N,120-53-23.7570W,PR,,NON-NPIAS,,N,,,1,0	,E/W	,ASPH,2485,40 
01635.61*A,E45,PINE MOUNTAIN LAKE,GROVELAND,CA,AWP,SFO,PU,37-51-42.0000N,120-10-42.8000W,PU,,General Aviation,,N,100LL,,24,15000	,09/27	,ASPH-G,3624,50 
02462.*A,8CA5,PINES AIRPARK,WINCHESTER,CA,AWP,LAX,PR,33-38-44.0840N,117-06-36.1090W,PR,,NON-NPIAS,,N,,,4,0	,18/36	,TURF-DIRT,2500,150 
02052.*A,PVF,PLACERVILLE,PLACERVILLE,CA,AWP,SFO,PU,38-43-27.2000N,120-45-12.0000W,PU,,General Aviation,,N,100LLA,INSTR  RNTL  SALES,124,59400	,05/23	,ASPH-G,3910,75 
02057.*A,NTD,POINT MUGU NAS (NAVAL BASE VENTURA CO),OXNARD,CA,AWP,LAX,PR,34-07-09.3880N,119-07-10.5060W,MN,,NON-NPIAS,,Y,,,0,0	,03/21	,ASPH,11102,200 
02057.*A,NTD,POINT MUGU NAS (NAVAL BASE VENTURA CO),OXNARD,CA,AWP,LAX,PR,34-07-09.3880N,119-07-10.5060W,MN,,NON-NPIAS,,Y,,,0,0	,09/27	,ASPH,5502,200 
02186.4*H,16CA,POLICE PISTOL RANGE,SAN FRANCISCO,CA,AWP,SFO,PR,37-43-09.7550N,122-29-55.9010W,PU,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,150,100 
02058.14*H,98L,POMONA POLICE DEPT,POMONA,CA,AWP,LAX,PR,34-03-09.0380N,117-47-36.2100W,PU,,NON-NPIAS,,N,100,,1,0	,H1	,ASPH,125,100 
02035.4*A,52CN,PONDEROSA SKY RANCH,PAYNES CREEK,CA,AWP,SFO,PR,40-20-39.5690N,121-46-28.9470W,PR,,NON-NPIAS,,N,,,2,0	,09/27	,DIRT,2000,100 
01899.2*A,1CL2,PONTIOUS,MOJAVE,CA,AWP,LAX,PR,34-56-32.9080N,118-10-11.2700W,PR,,NON-NPIAS,,N,,,6,0	,03/21	,DIRT,1900,50 
01899.2*A,1CL2,PONTIOUS,MOJAVE,CA,AWP,LAX,PR,34-56-32.9080N,118-10-11.2700W,PR,,NON-NPIAS,,N,,,6,0	,07/25	,DIRT,1300,50 
02059.8*A,05CL,POPE VALLEY,POPE VALLEY,CA,AWP,SFO,PR,38-36-38.6610N,122-23-28.9230W,PR,,NON-NPIAS,,N,,,2,0	,10/28	,ASPH-G,3700,60 
01709.41*A,68CN,PORTER RANCH,KENNEDY MEADOWS,CA,AWP,SFO,PR,36-01-19.7990N,118-05-43.2850W,PR,,NON-NPIAS,,N,,,0,0	,09/27	,DIRT,2600,150 
02062.*A,PTV,PORTERVILLE MUNI,PORTERVILLE,CA,AWP,SFO,PU,36-01-46.5000N,119-03-45.8000W,PU,,General Aviation,,N,100LL80   A,CHTR  INSTR  RNTL  SALES  SURV,74,43550	,12/30	,ASPH-G,5960,150 
01569.3*A,L73,POSO-KERN COUNTY,FAMOSO,CA,AWP,LAX,PU,35-35-47.0000N,119-07-41.8000W,PU,,NON-NPIAS,,N,,,0,1000	,16/34	,ASPH-F,3000,60 
01622.*A,CL46,QUAIL LAKE SKY PARK,GORMAN/LANCASTER,CA,AWP,LAX,PR,34-46-03.9290N,118-43-54.3240W,PR,,NON-NPIAS,,N,,,6,0	,08/26	,ASPH,3100,40 
02287.4*A,CA41,QUINN,SELMA,CA,AWP,SFO,PR,36-34-59.8210N,119-38-23.4810W,PR,,NON-NPIAS,,N,,,0,0	,13/31	,ASPH,2400,100 
02078.*A,RNM,RAMONA,RAMONA,CA,AWP,LAX,PU,33-02-21.0000N,116-54-54.9000W,PU,,Reliever,,Y,100LLA,INSTR  RNTL  SALES,147,118548	,09/27	,ASPH-G,5001,150 
02078.*A,RNM,RAMONA,RAMONA,CA,AWP,LAX,PU,33-02-21.0000N,116-54-54.9000W,PU,,Reliever,,Y,100LLA,INSTR  RNTL  SALES,147,118548	,H1	,ASPH-CONC,340,66 
01396.1*A,CL56,RANCHAERO,CHICO,CA,AWP,SFO,PR,39-43-10.2765N,121-52-13.7835W,PR,,NON-NPIAS,,N,100LL,,30,5000	,14/32	,ASPH-P,2156,30 
02078.751*A,RIU,RANCHO MURIETA,RANCHO MURIETA,CA,AWP,SFO,PU,38-29-12.4000N,121-06-10.0000W,PR,,General Aviation,,N,100LLA,INSTR  RNTL,38,26500	,04/22	,ASPH-G,3798,75 
01369.41*A,66CA,RANCHO SAN SIMEON,CAMBRIA,CA,AWP,SFO,PR,35-36-27.8940N,121-06-36.6960W,PR,,NON-NPIAS,,N,,,1,0	,01/19	,DIRT,1800,65 
02085.22*A,49CN,RANCHO TEHAMA,RED BLUFF,CA,AWP,SFO,PR,40-00-57.5570N,122-23-23.9910W,PR,,NON-NPIAS,,N,,,8,0	,09/27	,OIL&CHIP-T-G,3750,40 
01706.01*A,46CA,RANCHO VALLECITO,JULIAN,CA,AWP,LAX,PR,32-58-15.1730N,116-24-33.0530W,PR,,NON-NPIAS,,N,,,1,0	,10/28	,ASPH,2500,20 
02082.*A,O39,RAVENDALE,RAVENDALE,CA,AWP,SFO,PU,40-48-11.8000N,120-21-58.4000W,PU,,NON-NPIAS,,N,,,0,365	,17/35	,ASPH-F,2920,30 
02085.*A,RBL,RED BLUFF MUNI,RED BLUFF,CA,AWP,SFO,PU,40-09-01.1000N,122-15-07.9000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,105,26150	,15/33	,ASPH-G,5431,100 
02089.*A,RDD,REDDING MUNI,REDDING,CA,AWP,SFO,PU,40-30-32.4000N,122-17-36.2000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,198,88842	,12/30	,ASPH-G,5067,150 
02089.*A,RDD,REDDING MUNI,REDDING,CA,AWP,SFO,PU,40-30-32.4000N,122-17-36.2000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,198,88842	,16/34	,ASPH-G,7003,150 
02092.*A,REI,REDLANDS MUNI,REDLANDS,CA,AWP,LAX,PU,34-05-06.9000N,117-08-47.0000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL  SALES,150,44000	,08/26	,ASPH-G,4504,75 
02099.*A,O32,REEDLEY MUNI,REEDLEY,CA,AWP,SFO,PU,36-40-15.6000N,119-27-03.7000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,48,33000	,15/33	,ASPH-G,3300,60 
02203.*A,RHV,REID-HILLVIEW OF SANTA CLARA COUNTY,SAN JOSE,CA,AWP,SFO,PU,37-19-58.3000N,121-49-11.3000W,PU,,Reliever,,Y,100LLA,INSTR  RNTL  SALES,283,109746	,13L/31R	,ASPH-F,3100,75 
02203.*A,RHV,REID-HILLVIEW OF SANTA CLARA COUNTY,SAN JOSE,CA,AWP,SFO,PU,37-19-58.3000N,121-49-11.3000W,PU,,Reliever,,Y,100LLA,INSTR  RNTL  SALES,283,109746	,13R/31L	,ASPH-F,3099,75 
02063.*A,CA75,REIDER RANCH,POTRERO,CA,AWP,LAX,PR,32-38-17.2110N,116-38-21.0640W,PR,,NON-NPIAS,,N,,,2,0	,16/34	,DIRT,2080,75 
01875.12*A,12CN,RICHTER,MAXWELL,CA,AWP,SFO,PR,39-16-12.0000N,122-06-59.0000W,PR,,NON-NPIAS,,N,,,6,0	,16/34	,GRVL,2800,50 
02108.2*A,07CL,RICHVALE,RICHVALE,CA,AWP,SFO,PR,39-29-51.5890N,121-46-16.9130W,PR,,NON-NPIAS,,N,,,17,10000	,16/34	,ASPH,2220,50 
02403.4*A,38CL,RIEGO FLIGHT STRIP,VERONA,CA,AWP,SFO,PR,38-45-14.6460N,121-33-46.8470W,PR,,NON-NPIAS,,N,,AGRI,12,12500	,16/34	,ASPH-G,2380,35 
02110.4*A,L36,RIO LINDA,RIO LINDA,CA,AWP,SFO,PU,38-40-30.0000N,121-26-43.6000W,PR,,NON-NPIAS,,N,100LL,INSTR,139,30000	,17/35	,ASPH-G,2625,42 
02110.9*A,O88,RIO VISTA MUNI,RIO VISTA,CA,AWP,SFO,PU,38-11-36.2000N,121-42-13.1000W,PU,,General Aviation,,N,100LL,AGRI  INSTR  RNTL  SALES,46,35000	,07/25	,ASPH-G,4199,75 
02110.9*A,O88,RIO VISTA MUNI,RIO VISTA,CA,AWP,SFO,PU,38-11-36.2000N,121-42-13.1000W,PU,,General Aviation,,N,100LL,AGRI  INSTR  RNTL  SALES,46,35000	,15/33	,ASPH-G,2199,60 
02110.9*A,O88,RIO VISTA MUNI,RIO VISTA,CA,AWP,SFO,PU,38-11-36.2000N,121-42-13.1000W,PU,,General Aviation,,N,100LL,AGRI  INSTR  RNTL  SALES,46,35000	,H1	,CONC,180,180 
02112.*A,RAL,RIVERSIDE MUNI,RIVERSIDE,CA,AWP,LAX,PU,33-57-06.8000N,117-26-42.4000W,PU,,Reliever,,Y,100LLA,AFRT  CHTR  INSTR  RNTL  SALES  SURV,191,102395	,09/27	,ASPH-G,5401,100 
02112.*A,RAL,RIVERSIDE MUNI,RIVERSIDE,CA,AWP,LAX,PU,33-57-06.8000N,117-26-42.4000W,PU,,Reliever,,Y,100LLA,AFRT  CHTR  INSTR  RNTL  SALES  SURV,191,102395	,16/34	,ASPH-F,2850,50 
01370.05*H,SYL,ROBERTS AHP,CAMP ROBERTS/SAN MIGUEL,CA,AWP,SFO,PR,35-48-53.8790N,120-44-37.6250W,MR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,2740,100 
01392.*A,O05,ROGERS FIELD,CHESTER,CA,AWP,SFO,PU,40-16-56.5000N,121-14-28.2000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR,0,15700	,16/34	,ASPH-G,5020,100 
01413.1*H,7CL2,ROGERS HELICOPTERS INC,CLOVIS,CA,AWP,SFO,PR,36-49-25.8190N,119-40-06.5030W,PR,,NON-NPIAS,,N,A,,0,0	,H1	,TURF,400,200 
01586.*A,FOT,ROHNERVILLE,FORTUNA,CA,AWP,SFO,PU,40-33-14.2000N,124-07-57.6000W,PU,,General Aviation,,N,,,10,27500	,11/29	,ASPH-G,4005,100 
02116.2*A,L00,ROSAMOND SKYPARK,ROSAMOND,CA,AWP,LAX,PU,34-52-13.8000N,118-12-19.5000W,PR,,NON-NPIAS,,N,100LL,,66,15000	,08/26	,ASPH-F,3600,50 
01723.*A,CA09,ROUND MOUNTAIN,KLAMATH RIVER,CA,AWP,SFO,PR,41-53-10.4820N,122-50-40.1220W,PR,,NON-NPIAS,,N,,,1,0	,03/21	,DIRT,1500,50 
01458.*A,O09,ROUND VALLEY,COVELO,CA,AWP,SFO,PU,39-47-25.8000N,123-15-58.8000W,PU,,General Aviation,,N,100LL,,6,2000	,10/28	,ASPH-E,3670,60 
01705.8*A,L80,ROY WILLIAMS,JOSHUA TREE,CA,AWP,LAX,PU,34-09-15.0160N,116-15-08.0340W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,11,6200	,06/24	,ASPH-P,2493,50 
01705.8*A,L80,ROY WILLIAMS,JOSHUA TREE,CA,AWP,LAX,PU,34-09-15.0160N,116-15-08.0340W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,11,6200	,12/30	,ASPH-DIRT-P,2355,100 
02119.8*A,T42,RUTH,RUTH,CA,AWP,SFO,PU,40-12-41.3000N,123-17-51.7000W,PU,,General Aviation,,N,,,4,2000	,13/31	,ASPH-F,3500,50 
01709.4*A,91CL,SACATAR MEADOWS,KENNEDY MEADOWS,CA,AWP,SFO,PR,35-59-23.8020N,118-04-49.2820W,PR,,NON-NPIAS,,N,,,1,0	,11/29	,TURF-DIRT,3300,50 
02127.*A,SAC,SACRAMENTO EXECUTIVE,SACRAMENTO,CA,AWP,SFO,PU,38-30-45.1000N,121-29-36.5000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,341,88013	,02/20	,ASPH-G,5503,150 
02127.*A,SAC,SACRAMENTO EXECUTIVE,SACRAMENTO,CA,AWP,SFO,PU,38-30-45.1000N,121-29-36.5000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,341,88013	,12/30	,ASPH-G,3837,100 
02127.*A,SAC,SACRAMENTO EXECUTIVE,SACRAMENTO,CA,AWP,SFO,PU,38-30-45.1000N,121-29-36.5000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,341,88013	,16/34	,ASPH-G,3505,150 
02124.2*A,SMF,SACRAMENTO INTL,SACRAMENTO,CA,AWP,SFO,PU,38-41-43.6000N,121-35-26.8000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  CARGO  CHTR,10,108710	,16L/34R	,CONC-G,8605,150 
02124.2*A,SMF,SACRAMENTO INTL,SACRAMENTO,CA,AWP,SFO,PU,38-41-43.6000N,121-35-26.8000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  CARGO  CHTR,10,108710	,16R/34L	,ASPH-G,8598,150 
02126.*A,MHR,SACRAMENTO MATHER,SACRAMENTO,CA,AWP,SFO,PU,38-33-19.1000N,121-17-49.9000W,PU,,Reliever,,Y,100LLA,AFRT  CARGO,27,82406	,04L/22R	,ASPH-G,6038,150 
02126.*A,MHR,SACRAMENTO MATHER,SACRAMENTO,CA,AWP,SFO,PU,38-33-19.1000N,121-17-49.9000W,PU,,Reliever,,Y,100LLA,AFRT  CARGO,27,82406	,04R/22L	,ASPH-CONC-G,11301,150 
02137.*A,SNS,SALINAS MUNI,SALINAS,CA,AWP,SFO,PU,36-39-46.0314N,121-36-22.9191W,PU,,General Aviation,,Y,100LLA,AGRI  AVNCS  CHTR  INSTR  RNTL  SALES,178,77896	,08/26	,ASPH-G,6004,150 
02137.*A,SNS,SALINAS MUNI,SALINAS,CA,AWP,SFO,PU,36-39-46.0314N,121-36-22.9191W,PU,,General Aviation,,Y,100LLA,AGRI  AVNCS  CHTR  INSTR  RNTL  SALES,178,77896	,13/31	,ASPH-G,4825,150 
02139.*A,SAS,SALTON SEA,SALTON CITY,CA,AWP,LAX,PU,33-14-28.3000N,115-57-09.3000W,PR,,NON-NPIAS,,N,,,0,350	,07/25	,GRAVEL-G,5000,75 
01440.*A,24CL,SALYER FARMS,CORCORAN,CA,AWP,SFO,PR,36-05-19.2200N,119-32-29.8600W,PR,,NON-NPIAS,,N,,,2,0	,14/32	,ASPH,6815,75 
01561.*A,O33,SAMOA FIELD,EUREKA,CA,AWP,SFO,PU,40-46-51.1000N,124-12-44.2000W,PU,,NON-NPIAS,,N,,,8,2500	,16/34	,ASPH-G,2700,60 
02142.*A,CA88,SAN ARDO FIELD,SAN ARDO,CA,AWP,SFO,PR,36-01-33.8740N,120-54-27.6580W,PR,,NON-NPIAS,,N,,,0,300	,14/32	,ASPH-F,2000,45 
02154.*A,SBD,SAN BERNARDINO INTL,SAN BERNARDINO,CA,AWP,LAX,PU,34-05-43.3000N,117-14-05.6000W,PU,IV A U 06/1996,Reliever,,Y,100LLA,AFRT  AVNCS  CARGO,16,30520	,06/24	,CONC-E,10000,200 
02160.1*A,SQL,SAN CARLOS,SAN CARLOS,CA,AWP,SFO,PU,37-30-42.6780N,122-14-58.2850W,PU,,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL,314,111944	,12/30	,ASPH-G,2600,75 
02163.*A,NUC,SAN CLEMENTE ISLAND NALF,SAN CLEMENTE ISLAND,CA,AWP,LAX,PR,33-01-21.8898N,118-35-18.5748W,MN,,NON-NPIAS,,Y,,,0,0	,05/23	,CONC,9301,200 
02170.*A,SAN,SAN DIEGO INTL,SAN DIEGO,CA,AWP,LAX,PU,32-44-00.8000N,117-11-22.8000W,PU,I D S 05/1973,Primary,Large,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  RNTL  SURV,7,187793	,09/27	,ASPH-CONC-G,9400,200 
02187.*A,SFO,SAN FRANCISCO INTL,SAN FRANCISCO,CA,AWP,SFO,PU,37-37-07.7418N,122-22-31.5411W,PU,I E S 05/1973,Primary,Large,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR,10,431966	,01L/19R	,ASPH-G,7650,200 
02187.*A,SFO,SAN FRANCISCO INTL,SAN FRANCISCO,CA,AWP,SFO,PU,37-37-07.7418N,122-22-31.5411W,PU,I E S 05/1973,Primary,Large,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR,10,431966	,01R/19L	,ASPH-G,8650,200 
02187.*A,SFO,SAN FRANCISCO INTL,SAN FRANCISCO,CA,AWP,SFO,PU,37-37-07.7418N,122-22-31.5411W,PU,I E S 05/1973,Primary,Large,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR,10,431966	,10L/28R	,ASPH-G,11870,200 
02187.*A,SFO,SAN FRANCISCO INTL,SAN FRANCISCO,CA,AWP,SFO,PU,37-37-07.7418N,122-22-31.5411W,PU,I E S 05/1973,Primary,Large,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR,10,431966	,10R/28L	,ASPH-G,11381,200 
02195.*A,CA32,SAN JOAQUIN,SAN JOAQUIN,CA,AWP,SFO,PR,36-34-59.8220N,120-15-03.5620W,PR,,NON-NPIAS,,N,,,7,0	,15/33	,TRTD-DIRT,2500,30 
01497.012*H,5CA6,SAN JOAQUIN HELICOPTERS,DELANO,CA,AWP,SFO,PR,35-47-27.8320N,119-13-48.3910W,PR,,NON-NPIAS,,N,,,0,0	,H1	,CONC,215,146 
02211.*A,SBP,SAN LUIS COUNTY RGNL,SAN LUIS OBISPO,CA,AWP,SFO,PU,35-14-14.1573N,120-38-33.3507W,PU,I B S 02/1980,Primary,Non-Hub,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,264,68573	,07/25	,ASPH-G,2500,100 
02211.*A,SBP,SAN LUIS COUNTY RGNL,SAN LUIS OBISPO,CA,AWP,SFO,PU,35-14-14.1573N,120-38-33.3507W,PU,I B S 02/1980,Primary,Non-Hub,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,264,68573	,11/29	,ASPH-G,6100,150 
02220.*A,NSI,SAN NICOLAS ISLAND NOLF,SAN NICOLAS ISLAND,CA,AWP,LAX,PR,33-14-23.4000N,119-27-29.4000W,MN,,NON-NPIAS,,Y,,,0,0	,12/30	,PEM,10002,200 
02222.1*A,CA35,SAN RAFAEL,SAN RAFAEL,CA,AWP,SFO,PR,38-01-00.7190N,122-31-14.9140W,PR,,NON-NPIAS,,N,100LLA,,100,9000	,04/22	,ASPH-F,2140,30 
01888.4*A,38CN,SANBORN,MERIDIAN,CA,AWP,SFO,PR,39-06-33.6140N,121-53-01.8930W,PR,,NON-NPIAS,,N,,,0,0	,16/34	,ASPH-GRVL,2745,95 
